leftWins	rightWins	leftPlayerName	rightPlayerName	draws	tourneyName
0	1	Andy le Fake	Carl le Fake	0	long tourney example, 120 bouts
2	0	Doug le Fake	Carl le Fake	0	long tourney example, 120 bouts
0	1	Ellen le Fake	Carl le Fake	0	long tourney example, 120 bouts
0	1	Grace le Fake	Carl le Fake	0	long tourney example, 120 bouts
1	1	Hugh le Fake	Carl le Fake	0	long tourney example, 120 bouts
1	1	Inez le Fake	Carl le Fake	0	long tourney example, 120 bouts
1	0	John le Fake	Carl le Fake	0	long tourney example, 120 bouts
1	2	Andy le Fake	Doug le Fake	0	long tourney example, 120 bouts
3	0	Carl le Fake	Doug le Fake	0	long tourney example, 120 bouts
2	0	Ellen le Fake	Doug le Fake	0	long tourney example, 120 bouts
1	0	Grace le Fake	Doug le Fake	0	long tourney example, 120 bouts
0	1	Hugh le Fake	Doug le Fake	0	long tourney example, 120 bouts
1	1	Inez le Fake	Doug le Fake	0	long tourney example, 120 bouts
0	1	Andy le Fake	Ellen le Fake	0	long tourney example, 120 bouts
1	2	Bob le Fake	Ellen le Fake	0	long tourney example, 120 bouts
1	2	Carl le Fake	Ellen le Fake	0	long tourney example, 120 bouts
0	1	Doug le Fake	Ellen le Fake	0	long tourney example, 120 bouts
2	0	Fran le Fake	Ellen le Fake	0	long tourney example, 120 bouts
1	1	Hugh le Fake	Ellen le Fake	0	long tourney example, 120 bouts
1	3	John le Fake	Ellen le Fake	0	long tourney example, 120 bouts
0	1	Andy le Fake	Fran le Fake	0	long tourney example, 120 bouts
0	2	Doug le Fake	Fran le Fake	0	long tourney example, 120 bouts
0	1	Grace le Fake	Fran le Fake	0	long tourney example, 120 bouts
1	0	Hugh le Fake	Fran le Fake	0	long tourney example, 120 bouts
0	1	Inez le Fake	Fran le Fake	0	long tourney example, 120 bouts
1	0	John le Fake	Fran le Fake	0	long tourney example, 120 bouts
0	1	Andy le Fake	Grace le Fake	0	long tourney example, 120 bouts
1	1	Bob le Fake	Grace le Fake	0	long tourney example, 120 bouts
2	2	Doug le Fake	Grace le Fake	0	long tourney example, 120 bouts
0	1	Ellen le Fake	Grace le Fake	0	long tourney example, 120 bouts
1	1	Fran le Fake	Grace le Fake	0	long tourney example, 120 bouts
0	2	Inez le Fake	Grace le Fake	0	long tourney example, 120 bouts
0	1	Andy le Fake	Hugh le Fake	0	long tourney example, 120 bouts
0	1	Bob le Fake	Hugh le Fake	0	long tourney example, 120 bouts
1	0	Carl le Fake	Hugh le Fake	0	long tourney example, 120 bouts
0	2	Ellen le Fake	Hugh le Fake	0	long tourney example, 120 bouts
1	0	Fran le Fake	Hugh le Fake	0	long tourney example, 120 bouts
0	1	Inez le Fake	Hugh le Fake	0	long tourney example, 120 bouts
0	1	Andy le Fake	Inez le Fake	0	long tourney example, 120 bouts
0	1	Bob le Fake	Inez le Fake	0	long tourney example, 120 bouts
3	1	Carl le Fake	Inez le Fake	0	long tourney example, 120 bouts
0	1	Doug le Fake	Inez le Fake	0	long tourney example, 120 bouts
2	0	Ellen le Fake	Inez le Fake	0	long tourney example, 120 bouts
0	2	Fran le Fake	Inez le Fake	0	long tourney example, 120 bouts
1	0	Grace le Fake	Inez le Fake	0	long tourney example, 120 bouts
1	0	Hugh le Fake	Inez le Fake	0	long tourney example, 120 bouts
1	2	John le Fake	Inez le Fake	0	long tourney example, 120 bouts
0	2	Andy le Fake	John le Fake	0	long tourney example, 120 bouts
1	0	Carl le Fake	John le Fake	0	long tourney example, 120 bouts
0	1	Doug le Fake	John le Fake	0	long tourney example, 120 bouts
0	1	Ellen le Fake	John le Fake	0	long tourney example, 120 bouts
0	1	Fran le Fake	John le Fake	0	long tourney example, 120 bouts
1	1	Hugh le Fake	John le Fake	0	long tourney example, 120 bouts
1	0	Bob le Fake	Andy le Fake	0	long tourney example, 120 bouts
2	0	Carl le Fake	Andy le Fake	0	long tourney example, 120 bouts
4	1	Doug le Fake	Andy le Fake	0	long tourney example, 120 bouts
1	0	Ellen le Fake	Andy le Fake	0	long tourney example, 120 bouts
1	0	Grace le Fake	Andy le Fake	0	long tourney example, 120 bouts
1	0	Hugh le Fake	Andy le Fake	0	long tourney example, 120 bouts
3	0	Inez le Fake	Andy le Fake	0	long tourney example, 120 bouts
0	1	Carl le Fake	Bob le Fake	0	long tourney example, 120 bouts
2	1	Doug le Fake	Bob le Fake	0	long tourney example, 120 bouts
1	2	Ellen le Fake	Bob le Fake	0	long tourney example, 120 bouts
3	0	Fran le Fake	Bob le Fake	0	long tourney example, 120 bouts
1	0	Grace le Fake	Bob le Fake	0	long tourney example, 120 bouts
2	1	Hugh le Fake	Bob le Fake	0	long tourney example, 120 bouts
2	1	Inez le Fake	Bob le Fake	0	long tourney example, 120 bouts
1	0	John le Fake	Bob le Fake	0	long tourney example, 120 bouts
